trip_id,stop_id,stop_sequence,delay,category,operator
9755729759693266569,8000073,6,120,RB,8006SH
9761287510555304228,8000290,1,0,SWE,S6
9761287510555304228,8000596,2,0,SWE,S6
9761287510555304228,8000596,2,60,SWE,S6
9761287510555304228,8006678,3,0,SWE,S6
9761287510555304228,8006678,3,60,SWE,S6
9761287510555304228,8004545,4,60,SWE,S6
9761287510555304228,8004545,4,60,SWE,S6
9761287510555304228,8004546,5,120,SWE,S6
9761287510555304228,8004546,5,120,SWE,S6
9761287510555304228,8003594,6,120,SWE,S6
9761287510555304228,8003594,6,120,SWE,S6
9761287510555304228,8003010,7,120,SWE,S6
9761287510555304228,8003010,7,120,SWE,S6
9761287510555304228,8004932,8,120,SWE,S6
9761287510555304228,8004932,8,120,SWE,S6
9761287510555304228,8004931,9,120,SWE,S6
9761287510555304228,8004931,9,120,SWE,S6
9761287510555304228,8004679,10,60,SWE,S6
9761287510555304228,8004679,10,60,SWE,S6
9761287510555304228,8003035,11,60,SWE,S6
9761287510555304228,8003035,11,60,SWE,S6
9761287510555304228,8003721,12,60,SWE,S6
9761287510555304228,8003721,12,60,SWE,S6
9761287510555304228,8000734,13,60,SWE,S6
9761287510555304228,8000734,13,60,SWE,S6
9761287510555304228,8000707,14,60,SWE,S6
9764802464312222073,8003293,1,60,S,800725
9764802464312222073,8002068,2,60,S,800725
9764802464312222073,8002068,2,60,S,800725
9764802464312222073,8000107,4,0,S,800725
9764802464312222073,8000107,4,0,S,800725
9765331671812178851,8005911,1,120,HzL,R7
9765331671812178851,8007646,2,120,HzL,R7
9766669617673578941,8003400,9,120,S,850065
9769246797557640404,8000412,5,60,RE,800647
9769246797557640404,8000412,5,0,RE,800647
9769246797557640404,8005037,6,60,RE,800647
9769246797557640404,8005037,6,0,RE,800647
9769246797557640404,8000596,7,60,RE,800647
9769246797557640404,8000596,7,60,RE,800647
9769246797557640404,8000290,8,60,RE,800647
9769246797557640404,8000290,8,180,RE,800647
9769246797557640404,8002235,9,120,RE,800647
9769246797557640404,8002235,9,120,RE,800647
9769246797557640404,8002621,10,180,RE,800647
9769246797557640404,8002621,10,120,RE,800647
9769246797557640404,8000333,11,180,RE,800647
9769246797557640404,8000333,11,180,RE,800647
9769246797557640404,8003001,12,180,RE,800647
9769246797557640404,8003001,12,180,RE,800647
9769246797557640404,8005902,13,60,RE,800647
9769246797557640404,8005902,13,60,RE,800647
9769246797557640404,8005644,14,0,RE,800647
9769246797557640404,8005644,14,60,RE,800647
9769246797557640404,8000366,15,0,RE,800647
9769246797557640404,8000366,15,60,RE,800647
9769246797557640404,8000077,16,120,RE,800647
9769246797557640404,8000077,16,0,RE,800647
9769246797557640404,8000182,17,0,RE,800647
9769246797557640404,8000182,17,0,RE,800647
9769246797557640404,8001790,18,180,RE,800647
9769246797557640404,8001790,18,120,RE,800647
9769246797557640404,8000073,19,60,RE,800647
9769246797557640404,8000073,19,60,RE,800647
9769246797557640404,8003401,22,0,RE,800647
9769246797557640404,8003401,22,60,RE,800647
9769246797557640404,8003400,23,60,RE,800647
9770251912068346931,8083368,18,60,S,8003S
9770251912068346931,8083368,18,0,S,8003S
9773629375338120271,8007106,1,0,SWE,S6
9773629375338120271,8007105,2,0,SWE,S6
9773629375338120271,8007105,2,0,SWE,S6
9773629375338120271,8007104,3,0,SWE,S6
9773629375338120271,8007104,3,0,SWE,S6
9773629375338120271,8007103,4,0,SWE,S6
9773629375338120271,8007103,4,0,SWE,S6
9773629375338120271,8007102,5,0,SWE,S6
9773629375338120271,8007102,5,0,SWE,S6
9773629375338120271,8007101,6,0,SWE,S6
9773629375338120271,8007101,6,0,SWE,S6
9773629375338120271,8000942,7,0,SWE,S6
9783631914630094318,8000322,1,60,RE,R2RE
9783631914630094318,8004563,2,60,RE,R2RE
9783631914630094318,8004563,2,60,RE,R2RE
9783631914630094318,8005791,3,0,RE,R2RE
9783631914630094318,8005791,3,60,RE,R2RE
9786084911009063854,8083368,4,60,S,8003S
9786084911009063854,8083368,4,60,S,8003S
9793667323381054833,8083368,11,120,S,8003S
9793667323381054833,8083368,11,60,S,8003S
9799106117848147278,8003218,3,120,SWE,S6
9799106117848147278,8003218,3,120,SWE,S6
9799106117848147278,8003408,4,120,SWE,S6
9799106117848147278,8003408,4,120,SWE,S6
9799106117848147278,8003609,5,0,SWE,S6
9799106117848147278,8003609,5,0,SWE,S6
9799106117848147278,8000596,6,0,SWE,S6
9799106117848147278,8000596,6,120,SWE,S6
9799106117848147278,8000290,7,60,SWE,S6
9803302003023924577,8000965,4,0,RB,8006SH
9803302003023924577,8000965,4,0,RB,8006SH
9803302003023924577,8002337,5,0,RB,8006SH
9803302003023924577,8002337,5,60,RB,8006SH
9803302003023924577,8000073,6,0,RB,8006SH
9805944254050464248,8004552,1,240,RB,800631
9805944254050464248,8003562,2,300,RB,800631
9805944254050464248,8003562,2,240,RB,800631
9805944254050464248,8005871,3,300,RB,800631
9805944254050464248,8005871,3,300,RB,800631
9805944254050464248,8006167,4,300,RB,800631
9805944254050464248,8006167,4,240,RB,800631
9805944254050464248,8001491,5,240,RB,800631
9805944254050464248,8001491,5,240,RB,800631
9805944254050464248,8000463,6,180,RB,800631
9805944254050464248,8000463,6,240,RB,800631
