from_stop_id,to_stop_id,avg_delay,median_delay,max_delay
8000152,8000093,0,0,0
8000152,8000128,297,180,2190
8000152,8000147,660,180,2700
8000152,8000152,331,90,3870
8000152,8000162,200,240,360
8000152,8000238,910,150,2460
8000152,8000252,144,90,810
8000152,8000268,117,30,960
8000152,8000279,657,60,3630
8000152,8000294,195,195,210
8000152,8000732,0,0,0
8000152,8002549,645,390,2880
8000152,8002580,120,60,900
8000152,8002584,42,0,450
8000152,8003545,88,30,720
8000152,8003659,248,240,690
8000152,8004760,30,30,60
8000152,8006552,592,180,3780
8000152,8010404,926,90,3510
8000152,8070086,22,30,60
8000152,8079095,126,30,1230
8000154,8000154,81,30,510
8000154,8004253,63,30,510
8000154,8005659,181,120,480
8000154,8006170,28,30,90
8000154,8079083,91,60,390
8000155,8000155,111,60,1170
8000155,8000181,90,45,240
